Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
26008840,"Les Disparus du Clairdelune (La Passe-Miroir, #2)",Christelle Dabos,"Dabos, Christelle",,"=""2070661989""","=""9782070661985""",0,Gallimard,Paperback,560,2015,2015,,2026/08/15,currently-reading,currently-reading (#1),currently-reading,,,,1,0
40969531,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,"Dabos, Christelle",Hildegarde Serle,"=""1787701425""","=""9781787701427""",3.0,Europa Editions,Kindle Edition,446,2018,2013,2026/08/26,2026/08/15,,,read,,,,1,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Булгаков","=""0679760806""","=""9780679760801""",0,Vintage International,Paperback,372,1996,1925,,2026/08/25,to-read,to-read (#9),to-read,,,,0,0
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Roberto González Echevarría, John Rutherford","=""""","=""""",0,Penguin Books,Paperback,1023,2003,1605,,2026/08/25,to-read,to-read (#8),to-read,,,,0,0
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,"=""0451529170""","=""9780451529176""",0,Signet,Mass Market Paperback,912,2003,1872,,2026/08/25,to-read,to-read (#7),to-read,,,,0,0
233029866,The Next Renaissance: AI and the Expansion of Human Potential,Zack Kass,"Kass, Zack",,"=""1394381085""","=""9781394381081""",0,Wiley,Hardcover,256,2026,,,2026/08/25,to-read,to-read (#6),to-read,,,,0,0
199264,The Temple: The Poetry of George Herbert,George Herbert,"Herbert, George",Henry L. Carrigan Jr.,"=""1557252599""","=""9781557252593""",2.0,Paraclete Pr,Paperback,212,2001,1633,2026/08/21,2026/08/17,,,read,,,,1,0
10775,The Garden of Eden,Ernest Hemingway,"Hemingway, Ernest",Charles Scribner Jr.,"=""0684804522""","=""9780684804521""",3.0,Scribner ,Paperback,248,2003,1986,2026/08/14,2021/01/30,,,read,,,,1,0
58724607,The City Inside,Samit Basu,"Basu, Samit",,"=""1250827485""","=""9781250827487""",2.0,Tor Books,Hardcover,244,2022,2020,2026/08/13,2022/06/02,,,read,,,,1,0
58659343,Our Wives Under the Sea,Julia Armfield,"Armfield, Julia",,"=""152901722X""","=""9781529017229""",4.0,Picador,Paperback,240,2022,2022,2026/08/11,2022/10/08,,,read,,,,1,0
18075234,Challenger Deep,Neal Shusterman,"Shusterman, Neal",Brendan Shusterman,"=""""","=""""",5.0,HarperCollins,ebook,320,2015,2015,2026/08/11,2019/11/17,,,read,,,,1,0
53138095,"A ​Court of Silver Flames (A Court of Thorns and Roses, #5)",Sarah J. Maas,"Maas, Sarah J.",,"=""168119628X""","=""9781681196282""",0,Bloomsbury Publishing,Hardcover,757,2021,2021,,2026/06/14,to-read,to-read (#4),to-read,,,,0,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",0,Bloomsbury Publishing,Paperback,699,2020,2017,,2026/06/14,to-read,to-read (#2),to-read,,,,0,0
50659471,"A Court of Frost and Starlight (A Court of Thorns and Roses, #4)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575621""","=""9781635575620""",0,Bloomsbury Publishing,Paperback,272,2020,2018,,2026/06/14,to-read,to-read (#3),to-read,,,,0,0
59576012,Miss Aldridge Regrets (Canary Club Mystery #1),Louise Hare,"Hare, Louise",,"=""0593439252""","=""9780593439258""",3.0,Berkley,Hardcover,368,2022,2022,2026/08/10,2026/08/09,,,read,,,,1,0
182096538,My Life with Sea Turtles: A Marine Biologist’s Quest to Protect One of the Most Ancient Animals on Earth,Christine Figgener,"Figgener, Christine",Jane Billinghurst,"=""1778400582""","=""9781778400582""",0,Greystone Books,Hardcover,280,2024,2023,,2026/08/10,to-read,to-read (#5),to-read,,,,0,0
57933338,Violeta,Isabel Allende,"Allende, Isabel",Frances Riddle,"=""0593496205""","=""9780593496206""",5.0,Ballantine Books,Paperback,322,2022,2022,2026/08/09,2021/12/28,,,read,,,,1,0
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",5.0,Red Tower Books,Hardcover,544,2025,2025,2026/08/08,2026/08/02,,,read,,,,1,0
90202302,"Iron Flame (The Empyrean, #2)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374178""","=""9781649374172""",4.0,Entangled: Red Tower Books,Hardcover,623,2023,2023,2026/08/07,2026/08/02,,,read,,,,1,0
